Nature,Section,DateTimeStamp,ArticleKey,Job,UserName,Wire,Seal,Terminal,ProductionRequestedPieces,ProductionPieces,UserRequestedPieces,TotalGoodPieces,SampleRequestedPieces
ProductionInterrupted,Counter,"01/11/2024,10:35:31",57626_-2,"57626_-2, 1",ABDELKARIM,"CU03CR004/F3, 6124280, 6122505","Y2093, 1824, 1811","TMCSFD01, 1825, 1812",3500,"1800, 100",0,1800,
ProductionRestarted,Counter,"01/11/2024,10:35:33",57626_-2,"57626_-2, 1",ABDELKARIM,"CU03CR004/F3, 6124280, 6122505","Y2093, 1824, 1811","TMCSFD01, 1825, 1812",3500,"1800, 100",0,1800,
ProductionInterrupted,Counter,"01/11/2024,10:38:59",57626_-2,"57626_-2, 1",ABDELKARIM,"CU03CR004/F3, 6463900, 6462005","Y2093, 1925, 1911","TMCSFD01, 1926, 1912",3500,"1900, 100",0,1900,
ProductionRestarted,Counter,"01/11/2024,10:39:02",57626_-2,"57626_-2, 1",ABDELKARIM,"CU03CR004/F3, 6463900, 6462005","Y2093, 1925, 1911","TMCSFD01, 1926, 1912",3500,"1900, 100",0,1900,
ProductionInterrupted,Counter,"01/11/2024,10:42:26",57626_-2,"57626_-2, 1",ABDELKARIM,"CU03CR004/F3, 6803400, 6801505","Y2093, 2025, 2011","TMCSFD01, 2026, 2012",3500,"2000, 100",0,2000,
ProductionRestarted,Counter,"01/11/2024,10:42:29",57626_-2,"57626_-2, 1",ABDELKARIM,"CU03CR004/F3, 6803400, 6801505","Y2093, 2025, 2011","TMCSFD01, 2026, 2012",3500,"2000, 100",0,2000,
ProductionInterrupted,Counter,"01/11/2024,10:45:54",57626_-2,"57626_-2, 1",ABDELKARIM,"CU03CR004/F3, 7142900, 7141005","Y2093, 2125, 2111","TMCSFD01, 2126, 2112",3500,"2100, 100",0,2100,
ProductionRestarted,Counter,"01/11/2024,10:45:57",57626_-2,"57626_-2, 1",ABDELKARIM,"CU03CR004/F3, 7142900, 7141005","Y2093, 2125, 2111","TMCSFD01, 2126, 2112",3500,"2100, 100",0,2100,
ProductionInterrupted,Counter,"01/11/2024,10:49:21",57626_-2,"57626_-2, 1",ABDELKARIM,"CU03CR004/F3, 7482400, 7480505","Y2093, 2225, 2211","TMCSFD01, 2226, 2212",3500,"2200, 100",0,2200,
ProductionRestarted,Counter,"01/11/2024,10:49:24",57626_-2,"57626_-2, 1",ABDELKARIM,"CU03CR004/F3, 7482400, 7480505","Y2093, 2225, 2211","TMCSFD01, 2226, 2212",3500,"2200, 100",0,2200,
ProductionInterrupted,Counter,"01/11/2024,10:52:48",57626_-2,"57626_-2, 1",ABDELKARIM,"CU03CR004/F3, 7821900, 7820005","Y2093, 2325, 2311","TMCSFD01, 2326, 2312",3500,"2300, 100",0,2300,
ProductionRestarted,Counter,"01/11/2024,10:52:51",57626_-2,"57626_-2, 1",ABDELKARIM,"CU03CR004/F3, 7821900, 7820005","Y2093, 2325, 2311","TMCSFD01, 2326, 2312",3500,"2300, 100",0,2300,
ProductionInterrupted,Counter,"01/11/2024,10:55:37",57626_-2,"57626_-2, 1",ABDELKARIM,"CU03CR004/F3, 7821900, 7820005","Y2093, 2325, 2311","TMCSFD01, 2326, 2312",3500,"2382, 82",0,2382,
ProductionRestarted,Counter,"01/11/2024,11:29:19",57626_-2,"57626_-2, 1",ABDELKARIM,"CU03CR004/F3, 7821900, 7820005","Y2093, 2325, 2311","TMCSFD01, 2326, 2312",3500,"2382, 82",0,2382,
ProductionInterrupted,Counter,"01/11/2024,11:30:00",57626_-2,"57626_-2, 1",ABDELKARIM,"CU03CR004/F3, 8161405, 8159505","Y2093, 2425, 2411","TMCSFD01, 2426, 2412",3500,"2400, 100",0,2400,
ProductionRestarted,Counter,"01/11/2024,11:30:03",57626_-2,"57626_-2, 1",ABDELKARIM,"CU03CR004/F3, 8161405, 8159505","Y2093, 2425, 2411","TMCSFD01, 2426, 2412",3500,"2400, 100",0,2400,
ProductionInterrupted,Counter,"01/11/2024,11:31:15",57626_-2,"57626_-2, 1",ABDELKARIM,"CU03CR004/F3, 8161405, 8159505","Y2093, 2425, 2411","TMCSFD01, 2426, 2412",3500,"2436, 36",0,2436,
ProductionRestarted,Counter,"01/11/2024,11:31:20",57626_-2,"57626_-2, 1",ABDELKARIM,"CU03CR004/F3, 8161405, 8159505","Y2093, 2425, 2411","TMCSFD01, 2426, 2412",3500,"2436, 36",0,2436,
ProductionInterrupted,Counter,"01/11/2024,11:31:23",57626_-2,"57626_-2, 1",ABDELKARIM,"CU03CR004/F3, 8161405, 8159505","Y2093, 2425, 2411","TMCSFD01, 2426, 2412",3500,"2436, 36",0,2436,
ProductionRestarted,Counter,"01/11/2024,11:36:52",57626_-2,"57626_-2, 1",ABDELKARIM,"CU03CR004/F3, 8161405, 8159505","Y2093, 2425, 2411","TMCSFD01, 2426, 2412",3500,"2436, 36",0,2436,
ProductionInterrupted,Counter,"01/11/2024,11:39:05",57626_-2,"57626_-2, 1",ABDELKARIM,"CU03CR004/F3, 8161405, 8159505","Y2093, 2425, 2411","TMCSFD01, 2426, 2412",3500,"2500, 100",0,2500,
ProductionRestarted,Counter,"01/11/2024,11:39:08",57626_-2,"57626_-2, 1",ABDELKARIM,"CU03CR004/F3, 8501025, 8499005","Y2093, 2525, 2510","TMCSFD01, 2526, 2511",3500,"2500, 100",0,2500,
ProductionInterrupted,Counter,"01/11/2024,11:39:08",57626_-2,"57626_-2, 1",ABDELKARIM,"CU03CR004/F3, 8501025, 8499005","Y2093, 2525, 2510","TMCSFD01, 2526, 2511",3500,"2500, 100",0,2500,
SampleStarted,Counter,"01/11/2024,11:54:05",57626_-4,"57626_-4, 1",ABDELKARIM,"CU02CR003/F3, 365, 240",,-,,,,,
SampleTerminated,Counter,"01/11/2024,11:54:21",57626_-4,"57626_-4, 1",ABDELKARIM,"CU02CR003/F3, 490, 360",,"T742401008, 1, 1",,,,,1
SampleStarted,Counter,"01/11/2024,11:55:59",57626_-4,"57626_-4, 1",ABDELKARIM,"CU02CR003/F3, 490, 360",,"T742401008, 1, 1",,,,,
SampleTerminated,Counter,"01/11/2024,11:56:42",57626_-4,"57626_-4, 1",ABDELKARIM,"CU02CR003/F3, 740, 600",,"T742401008, 2, 2",,,,,1
LearnStarted,Counter,"01/11/2024,11:56:45",57626_-4,"57626_-4, 1",ABDELKARIM,"CU02CR003/F3, 740, 600",,"T742401008, 2, 2",,,,,
LearnTerminated,Counter,"01/11/2024,11:58:15",57626_-4,"57626_-4, 1",ABDELKARIM,"CU02CR003/F3, 4520, 4360",,"T742401008, 5, 5",,,,,
LearnStarted,Counter,"01/11/2024,11:58:19",57626_-4,"57626_-4, 1",ABDELKARIM,"CU02CR003/F3, 4520, 4360",,"T742401008, 5, 5",,,,,
LearnTerminated,Counter,"01/11/2024,11:58:57",57626_-4,"57626_-4, 1",ABDELKARIM,"CU02CR003/F3, 4645, 4480",,"T742401008, 6, 6",,,,,
SampleStarted,Counter,"01/11/2024,11:59:04",57626_-4,"57626_-4, 1",ABDELKARIM,"CU02CR003/F3, 4645, 4480",,"T742401008, 6, 6",,,,,
SampleTerminated,Counter,"01/11/2024,11:59:26",57626_-4,"57626_-4, 1",ABDELKARIM,"CU02CR003/F3, 4770, 4600",,"T742401008, 7, 7",,,,,1
SampleStarted,Counter,"01/11/2024,11:59:29",57626_-4,"57626_-4, 1",ABDELKARIM,"CU02CR003/F3, 4770, 4600",,"T742401008, 7, 7",,,,,
SampleTerminated,Counter,"01/11/2024,12:00:12",57626_-4,"57626_-4, 1",ABDELKARIM,"CU02CR003/F3, 4895, 4720",,"T742401008, 8, 8",,,,,1
SampleStarted,Counter,"01/11/2024,12:00:15",57626_-4,"57626_-4, 1",ABDELKARIM,"CU02CR003/F3, 4895, 4720",,"T742401008, 8, 8",,,,,
SampleTerminated,Counter,"01/11/2024,12:00:34",57626_-4,"57626_-4, 1",ABDELKARIM,"CU02CR003/F3, 5020, 4840",,"T742401008, 9, 9",,,,,1
ProductionStarted,Counter,"01/11/2024,12:00:37",57626_-4,"57626_-4, 1",ABDELKARIM,"CU02CR003/F3, 5020, 4840",,"T742401008, 9, 9",3500,"1, 1",,,
ProductionInterrupted,Counter,"01/11/2024,12:02:46",57626_-4,"57626_-4, 1",ABDELKARIM,"CU02CR003/F3, 5020, 4840",,"T742401008, 9, 9",3500,"66, 66",0,66,
ProductionRestarted,Counter,"01/11/2024,12:02:50",57626_-4,"57626_-4, 1",ABDELKARIM,"CU02CR003/F3, 5020, 4840",,"T742401008, 9, 9",3500,"66, 66",0,66,
ProductionInterrupted,Counter,"01/11/2024,12:03:57",57626_-4,"57626_-4, 1",ABDELKARIM,"CU02CR003/F3, 345625, 344840",,"T742401008, 115, 110",3500,"100, 100",0,100,
ProductionRestarted,Counter,"01/11/2024,12:04:00",57626_-4,"57626_-4, 1",ABDELKARIM,"CU02CR003/F3, 345625, 344840",,"T742401008, 115, 110",3500,"100, 100",0,100,
ProductionInterrupted,Counter,"01/11/2024,12:07:05",57626_-4,"57626_-4, 1",ABDELKARIM,"CU02CR003/F3, 685625, 684840",,"T742401008, 215, 210",3500,"200, 100",0,200,
ProductionRestarted,Counter,"01/11/2024,12:07:08",57626_-4,"57626_-4, 1",ABDELKARIM,"CU02CR003/F3, 685625, 684840",,"T742401008, 215, 210",3500,"200, 100",0,200,
ProductionInterrupted,Counter,"01/11/2024,12:10:14",57626_-4,"57626_-4, 1",ABDELKARIM,"CU02CR003/F3, 1025625, 1024840",,"T742401008, 315, 310",3500,"300, 100",0,300,
ProductionRestarted,Counter,"01/11/2024,12:10:16",57626_-4,"57626_-4, 1",ABDELKARIM,"CU02CR003/F3, 1025625, 1024840",,"T742401008, 315, 310",3500,"300, 100",0,300,
ProductionInterrupted,Counter,"01/11/2024,12:13:23",57626_-4,"57626_-4, 1",ABDELKARIM,"CU02CR003/F3, 1365745, 1364840",,"T742401008, 416, 410",3500,"400, 100",0,400,
ProductionRestarted,Counter,"01/11/2024,12:13:26",57626_-4,"57626_-4, 1",ABDELKARIM,"CU02CR003/F3, 1365745, 1364840",,"T742401008, 416, 410",3500,"400, 100",0,400,
ProductionInterrupted,Counter,"01/11/2024,12:16:31",57626_-4,"57626_-4, 1",ABDELKARIM,"CU02CR003/F3, 1705745, 1704840",,"T742401008, 516, 510",3500,"500, 100",0,500,
ProductionRestarted,Counter,"01/11/2024,12:16:34",57626_-4,"57626_-4, 1",ABDELKARIM,"CU02CR003/F3, 1705745, 1704840",,"T742401008, 516, 510",3500,"500, 100",0,500,
ProductionInterrupted,Counter,"01/11/2024,12:19:41",57626_-4,"57626_-4, 1",ABDELKARIM,"CU02CR003/F3, 2045865, 2044840",,"T742401008, 617, 610",3500,"600, 100",0,600,
ProductionRestarted,Counter,"01/11/2024,12:19:44",57626_-4,"57626_-4, 1",ABDELKARIM,"CU02CR003/F3, 2045865, 2044840",,"T742401008, 617, 610",3500,"600, 100",0,600,
ProductionInterrupted,Counter,"01/11/2024,12:22:52",57626_-4,"57626_-4, 1",ABDELKARIM,"CU02CR003/F3, 2386105, 2384840",,"T742401008, 719, 710",3500,"700, 100",0,700,
ProductionRestarted,Counter,"01/11/2024,12:22:55",57626_-4,"57626_-4, 1",ABDELKARIM,"CU02CR003/F3, 2386105, 2384840",,"T742401008, 719, 710",3500,"700, 100",0,700,
ProductionInterrupted,Counter,"01/11/2024,12:23:50",57626_-4,"57626_-4, 1",ABDELKARIM,"CU02CR003/F3, 2386105, 2384840",,"T742401008, 719, 710",3500,"730, 30",0,730,
ProductionRestarted,Counter,"01/11/2024,12:24:12",57626_-4,"57626_-4, 1",ABDELKARIM,"CU02CR003/F3, 2386105, 2384840",,"T742401008, 719, 710",3500,"730, 30",0,730,
ProductionInterrupted,Counter,"01/11/2024,12:24:20",57626_-4,"57626_-4, 1",ABDELKARIM,"CU02CR003/F3, 2386105, 2384840",,"T742401008, 719, 710",3500,"732, 32",0,732,
ProductionRestarted,Counter,"01/11/2024,12:24:23",57626_-4,"57626_-4, 1",ABDELKARIM,"CU02CR003/F3, 2386105, 2384840",,"T742401008, 719, 710",3500,"732, 32",0,732,
ProductionInterrupted,Counter,"01/11/2024,12:24:32",57626_-4,"57626_-4, 1",ABDELKARIM,"CU02CR003/F3, 2386105, 2384840",,"T742401008, 719, 710",3500,"735, 35",0,735,
ProductionRestarted,Counter,"01/11/2024,12:24:55",57626_-4,"57626_-4, 1",ABDELKARIM,"CU02CR003/F3, 2386105, 2384840",,"T742401008, 719, 710",3500,"735, 35",0,735,
ProductionInterrupted,Counter,"01/11/2024,12:26:58",57626_-4,"57626_-4, 1",ABDELKARIM,"CU02CR003/F3, 2386105, 2384840",,"T742401008, 719, 710",3500,"800, 100",0,800,
ProductionRestarted,Counter,"01/11/2024,12:27:01",57626_-4,"57626_-4, 1",ABDELKARIM,"CU02CR003/F3, 2727305, 2724840",,"T742401008, 828, 809",3500,"800, 100",0,800,
ProductionInterrupted,Counter,"01/11/2024,12:27:05",57626_-4,"57626_-4, 1",ABDELKARIM,"CU02CR003/F3, 2727305, 2724840",,"T742401008, 828, 809",3500,"800, 100",0,800,
ProductionRestarted,Counter,"01/11/2024,12:35:22",57626_-4,"57626_-4, 1",ABDELKARIM,"CU02CR003/F3, 2727305, 2724840",,"T742401008, 828, 809",3500,"800, 100",0,800,
ProductionInterrupted,Counter,"01/11/2024,12:38:32",57626_-4,"57626_-4, 1",ABDELKARIM,"CU02CR003/F3, 3067310, 3064840",,"T742401008, 929, 910",3500,"900, 100",0,900,
ProductionRestarted,Counter,"01/11/2024,12:38:35",57626_-4,"57626_-4, 1",ABDELKARIM,"CU02CR003/F3, 3067310, 3064840",,"T742401008, 929, 910",3500,"900, 100",0,900,
ProductionInterrupted,Counter,"01/11/2024,12:41:41",57626_-4,"57626_-4, 1",ABDELKARIM,"CU02CR003/F3, 3407430, 3404840",,"T742401008, 1030, 1010",3500,"1000, 100",0,1000,
ProductionRestarted,Counter,"01/11/2024,12:41:44",57626_-4,"57626_-4, 1",ABDELKARIM,"CU02CR003/F3, 3407430, 3404840",,"T742401008, 1030, 1010",3500,"1000, 100",0,1000,
ProductionInterrupted,Counter,"01/11/2024,12:44:50",57626_-4,"57626_-4, 1",ABDELKARIM,"CU02CR003/F3, 3747430, 3744840",,"T742401008, 1130, 1110",3500,"1100, 100",0,1100,
ProductionRestarted,Counter,"01/11/2024,12:44:53",57626_-4,"57626_-4, 1",ABDELKARIM,"CU02CR003/F3, 3747430, 3744840",,"T742401008, 1130, 1110",3500,"1100, 100",0,1100,
ProductionInterrupted,Counter,"01/11/2024,12:47:57",57626_-4,"57626_-4, 1",ABDELKARIM,"CU02CR003/F3, 3747430, 3744840",,"T742401008, 1130, 1110",3500,"1200, 100",0,1200,
ProductionRestarted,Counter,"01/11/2024,12:47:59",57626_-4,"57626_-4, 1",ABDELKARIM,"CU02CR003/F3, 4087550, 4084840",,"T742401008, 1230, 1209",3500,"1200, 100",0,1200,
ProductionInterrupted,Counter,"01/11/2024,12:48:00",57626_-4,"57626_-4, 1",ABDELKARIM,"CU02CR003/F3, 4087550, 4084840",,"T742401008, 1230, 1209",3500,"1200, 100",0,1200,
ProductionRestarted,Counter,"01/11/2024,13:43:09",57626_-4,"57626_-4, 1",ABDELKARIM,"CU02CR003/F3, 4087550, 4084840",,"T742401008, 1230, 1209",3500,"1200, 100",0,1200,
ProductionInterrupted,Counter,"01/11/2024,13:46:19",57626_-4,"57626_-4, 1",ABDELKARIM,"CU02CR003/F3, 4427555, 4424840",,"T742401008, 1331, 1310",3500,"1300, 100",0,1300,
ProductionRestarted,Counter,"01/11/2024,13:46:21",57626_-4,"57626_-4, 1",ABDELKARIM,"CU02CR003/F3, 4427555, 4424840",,"T742401008, 1331, 1310",3500,"1300, 100",0,1300,
ProductionInterrupted,Counter,"01/11/2024,13:49:27",57626_-4,"57626_-4, 1",ABDELKARIM,"CU02CR003/F3, 4767555, 4764840",,"T742401008, 1431, 1410",3500,"1400, 100",0,1400,
ProductionRestarted,Counter,"01/11/2024,13:49:30",57626_-4,"57626_-4, 1",ABDELKARIM,"CU02CR003/F3, 4767555, 4764840",,"T742401008, 1431, 1410",3500,"1400, 100",0,1400,
ProductionInterrupted,Counter,"01/11/2024,13:52:36",57626_-4,"57626_-4, 1",ABDELKARIM,"CU02CR003/F3, 5107675, 5104840",,"T742401008, 1532, 1510",3500,"1500, 100",0,1500,
ProductionRestarted,Counter,"01/11/2024,13:52:39",57626_-4,"57626_-4, 1",ABDELKARIM,"CU02CR003/F3, 5107675, 5104840",,"T742401008, 1532, 1510",3500,"1500, 100",0,1500,
ProductionInterrupted,Counter,"01/11/2024,13:55:45",57626_-4,"57626_-4, 1",ABDELKARIM,"CU02CR003/F3, 5447675, 5444840",,"T742401008, 1632, 1610",3500,"1600, 100",0,1600,
ProductionRestarted,Counter,"01/11/2024,13:55:48",57626_-4,"57626_-4, 1",ABDELKARIM,"CU02CR003/F3, 5447675, 5444840",,"T742401008, 1632, 1610",3500,"1600, 100",0,1600,
ProductionInterrupted,Counter,"01/11/2024,13:58:53",57626_-4,"57626_-4, 1",ABDELKARIM,"CU02CR003/F3, 5787675, 5784840",,"T742401008, 1732, 1710",3500,"1700, 100",0,1700,
ProductionRestarted,Counter,"01/11/2024,13:58:56",57626_-4,"57626_-4, 1",ABDELKARIM,"CU02CR003/F3, 5787675, 5784840",,"T742401008, 1732, 1710",3500,"1700, 100",0,1700,
ProductionInterrupted,Counter,"01/11/2024,14:02:02",57626_-4,"57626_-4, 1",ABDELKARIM,"CU02CR003/F3, 6127675, 6124840",,"T742401008, 1832, 1810",3500,"1800, 100",0,1800,
ProductionRestarted,Counter,"01/11/2024,14:02:04",57626_-4,"57626_-4, 1",ABDELKARIM,"CU02CR003/F3, 6127675, 6124840",,"T742401008, 1832, 1810",3500,"1800, 100",0,1800,
ProductionInterrupted,Counter,"01/11/2024,14:05:11",57626_-4,"57626_-4, 1",ABDELKARIM,"CU02CR003/F3, 6467795, 6464840",,"T742401008, 1933, 1910",3500,"1900, 100",0,1900,
ProductionRestarted,Counter,"01/11/2024,14:05:14",57626_-4,"57626_-4, 1",ABDELKARIM,"CU02CR003/F3, 6467795, 6464840",,"T742401008, 1933, 1910",3500,"1900, 100",0,1900,
ProductionInterrupted,Counter,"01/11/2024,14:08:19",57626_-4,"57626_-4, 1",ABDELKARIM,"CU02CR003/F3, 6807795, 6804840",,"T742401008, 2033, 2010",3500,"2000, 100",0,2000,
ProductionRestarted,Counter,"01/11/2024,14:08:22",57626_-4,"57626_-4, 1",ABDELKARIM,"CU02CR003/F3, 6807795, 6804840",,"T742401008, 2033, 2010",3500,"2000, 100",0,2000,
ProductionInterrupted,Counter,"01/11/2024,14:11:28",57626_-4,"57626_-4, 1",ABDELKARIM,"CU02CR003/F3, 7147795, 7144840",,"T742401008, 2133, 2110",3500,"2100, 100",0,2100,
ProductionRestarted,Counter,"01/11/2024,14:11:31",57626_-4,"57626_-4, 1",ABDELKARIM,"CU02CR003/F3, 7147795, 7144840",,"T742401008, 2133, 2110",3500,"2100, 100",0,2100,
ProductionInterrupted,Counter,"01/11/2024,14:14:36",57626_-4,"57626_-4, 1",ABDELKARIM,"CU02CR003/F3, 7487795, 7484840",,"T742401008, 2233, 2210",3500,"2200, 100",0,2200,
ProductionRestarted,Counter,"01/11/2024,14:14:39",57626_-4,"57626_-4, 1",ABDELKARIM,"CU02CR003/F3, 7487795, 7484840",,"T742401008, 2233, 2210",3500,"2200, 100",0,2200,
ProductionInterrupted,Counter,"01/11/2024,14:17:45",57626_-4,"57626_-4, 1",ABDELKARIM,"CU02CR003/F3, 7827795, 7824840",,"T742401008, 2333, 2310",3500,"2300, 100",0,2300,
ProductionRestarted,Counter,"01/11/2024,14:17:47",57626_-4,"57626_-4, 1",ABDELKARIM,"CU02CR003/F3, 7827795, 7824840",,"T742401008, 2333, 2310",3500,"2300, 100",0,2300,
ProductionInterrupted,Counter,"01/11/2024,14:20:51",57626_-4,"57626_-4, 1",ABDELKARIM,"CU02CR003/F3, 7827795, 7824840",,"T742401008, 2333, 2310",3500,"2400, 100",0,2400,
ProductionRestarted,Counter,"01/11/2024,14:20:54",57626_-4,"57626_-4, 1",ABDELKARIM,"CU02CR003/F3, 8167915, 8164840",,"T742401008, 2433, 2409",3500,"2400, 100",0,2400,
ProductionInterrupted,Counter,"01/11/2024,14:20:54",57626_-4,"57626_-4, 1",ABDELKARIM,"CU02CR003/F3, 8167915, 8164840",,"T742401008, 2433, 2409",3500,"2400, 100",0,2400,
SampleStarted,Counter,"01/11/2024,14:27:21",57626_-4,"57626_-4, 1",ABDELKARIM,"CU02CR003/F3, 8167915, 8164840",,"T742401008, 2433, 2409",,,,,
SampleTerminated,Counter,"01/11/2024,14:27:53",57626_-4,"57626_-4, 1",ABDELKARIM,"CU02CR003/F3, 8168520, 8165440",,"T742401008, 2438, 2414",,,,,5
ProductionRestarted,Counter,"01/11/2024,14:28:16",57626_-4,"57626_-4, 1",ABDELKARIM,"CU02CR003/F3, 8168520, 8165440",,"T742401008, 2438, 2414",3500,"2400, 100",0,2400,
ProductionInterrupted,Counter,"01/11/2024,14:28:24",57626_-4,"57626_-4, 1",ABDELKARIM,"CU02CR003/F3, 8168520, 8165440",,"T742401008, 2438, 2414",3500,"2403, 3",0,2403,
ProductionRestarted,Counter,"01/11/2024,14:29:21",57626_-4,"57626_-4, 1",HAITHEM,"CU02CR003/F3, 8168520, 8165440",,"T742401008, 2438, 2414",3500,"2403, 3",0,2403,
ProductionInterrupted,Counter,"01/11/2024,14:32:28",57626_-4,"57626_-4, 1",HAITHEM,"CU02CR003/F3, 8508770, 8505440",,"T742401008, 2541, 2515",3500,"2500, 100",0,2500,
ProductionRestarted,Counter,"01/11/2024,14:32:31",57626_-4,"57626_-4, 1",HAITHEM,"CU02CR003/F3, 8508770, 8505440",,"T742401008, 2541, 2515",3500,"2500, 100",0,2500,
ProductionInterrupted,Counter,"01/11/2024,14:35:39",57626_-4,"57626_-4, 1",HAITHEM,"CU02CR003/F3, 8849010, 8845440",,"T742401008, 2643, 2615",3500,"2600, 100",0,2600,
ProductionRestarted,Counter,"01/11/2024,14:35:42",57626_-4,"57626_-4, 1",HAITHEM,"CU02CR003/F3, 8849010, 8845440",,"T742401008, 2643, 2615",3500,"2600, 100",0,2600,
ProductionInterrupted,Counter,"01/11/2024,14:38:47",57626_-4,"57626_-4, 1",HAITHEM,"CU02CR003/F3, 9189010, 9185440",,"T742401008, 2743, 2715",3500,"2700, 100",0,2700,
