Nature,Section,DateTimeStamp,ArticleKey,Job,UserName,Wire,Seal,Terminal,ProductionRequestedPieces,ProductionPieces,UserRequestedPieces,TotalGoodPieces,SampleRequestedPieces
LearnStarted,Counter,"01/11/2024,09:59:19",57626_-2,"57626_-2, 1",ABDELKARIM,"CU03CR004/F3, 3404150, 3403110","Y2093, 1018, 1010","TMCSFD01, 1019, 1011",,,,,
LearnTerminated,Counter,"01/11/2024,09:59:58",57626_-2,"57626_-2, 1",ABDELKARIM,"CU03CR004/F3, 3407665, 3406505","Y2093, 1018, 1010","TMCSFD01, 1019, 1011",,,,,
ProductionStarted,Counter,"01/11/2024,10:00:03",57626_-2,"57626_-2, 1",ABDELKARIM,"CU03CR004/F3, 3407665, 3406505","Y2093, 1018, 1010","TMCSFD01, 1019, 1011",3500,"1000, 100",,,
ProductionInterrupted,Counter,"01/11/2024,10:03:34",57626_-2,"57626_-2, 1",ABDELKARIM,"CU03CR004/F3, 3747290, 3746005","Y2093, 1120, 1111","TMCSFD01, 1121, 1112",3500,"1100, 100",0,1100,
ProductionRestarted,Counter,"01/11/2024,10:03:36",57626_-2,"57626_-2, 1",ABDELKARIM,"CU03CR004/F3, 3747290, 3746005","Y2093, 1120, 1111","TMCSFD01, 1121, 1112",3500,"1100, 100",0,1100,
ProductionInterrupted,Counter,"01/11/2024,10:07:03",57626_-2,"57626_-2, 1",ABDELKARIM,"CU03CR004/F3, 4087030, 4085505","Y2093, 1222, 1211","TMCSFD01, 1223, 1212",3500,"1200, 100",0,1200,
ProductionRestarted,Counter,"01/11/2024,10:07:06",57626_-2,"57626_-2, 1",ABDELKARIM,"CU03CR004/F3, 4087030, 4085505","Y2093, 1222, 1211","TMCSFD01, 1223, 1212",3500,"1200, 100",0,1200,
ProductionInterrupted,Counter,"01/11/2024,10:10:31",57626_-2,"57626_-2, 1",ABDELKARIM,"CU03CR004/F3, 4087030, 4085505","Y2093, 1222, 1211","TMCSFD01, 1223, 1212",3500,"1300, 100",0,1300,
ProductionRestarted,Counter,"01/11/2024,10:10:34",57626_-2,"57626_-2, 1",ABDELKARIM,"CU03CR004/F3, 4426770, 4425005","Y2093, 1323, 1310","TMCSFD01, 1324, 1311",3500,"1300, 100",0,1300,
ProductionInterrupted,Counter,"01/11/2024,10:10:34",57626_-2,"57626_-2, 1",ABDELKARIM,"CU03CR004/F3, 4426770, 4425005","Y2093, 1323, 1310","TMCSFD01, 1324, 1311",3500,"1300, 100",0,1300,
ProductionRestarted,Counter,"01/11/2024,10:10:48",57626_-2,"57626_-2, 1",ABDELKARIM,"CU03CR004/F3, 4426770, 4425005","Y2093, 1323, 1310","TMCSFD01, 1324, 1311",3500,"1300, 100",0,1300,
ProductionInterrupted,Counter,"01/11/2024,10:14:17",57626_-2,"57626_-2, 1",ABDELKARIM,"CU03CR004/F3, 4766275, 4764505","Y2093, 1424, 1411","TMCSFD01, 1425, 1412",3500,"1400, 100",0,1400,
ProductionRestarted,Counter,"01/11/2024,10:14:20",57626_-2,"57626_-2, 1",ABDELKARIM,"CU03CR004/F3, 4766275, 4764505","Y2093, 1424, 1411","TMCSFD01, 1425, 1412",3500,"1400, 100",0,1400,
ProductionInterrupted,Counter,"01/11/2024,10:17:42",57626_-2,"57626_-2, 1",ABDELKARIM,"CU03CR004/F3, 4766275, 4764505","Y2093, 1424, 1411","TMCSFD01, 1425, 1412",3500,"1500, 100",0,1500,
ProductionRestarted,Counter,"01/11/2024,10:17:44",57626_-2,"57626_-2, 1",ABDELKARIM,"CU03CR004/F3, 5105775, 5104005","Y2093, 1523, 1510","TMCSFD01, 1524, 1511",3500,"1500, 100",0,1500,
ProductionInterrupted,Counter,"01/11/2024,10:17:45",57626_-2,"57626_-2, 1",ABDELKARIM,"CU03CR004/F3, 5105775, 5104005","Y2093, 1523, 1510","TMCSFD01, 1524, 1511",3500,"1500, 100",0,1500,
ProductionRestarted,Counter,"01/11/2024,10:25:07",57626_-2,"57626_-2, 1",ABDELKARIM,"CU03CR004/F3, 5105775, 5104005","Y2093, 1523, 1510","TMCSFD01, 1524, 1511",3500,"1500, 100",0,1500,
ProductionInterrupted,Counter,"01/11/2024,10:28:36",57626_-2,"57626_-2, 1",ABDELKARIM,"CU03CR004/F3, 5445280, 5443505","Y2093, 1624, 1611","TMCSFD01, 1625, 1612",3500,"1600, 100",0,1600,
ProductionRestarted,Counter,"01/11/2024,10:28:39",57626_-2,"57626_-2, 1",ABDELKARIM,"CU03CR004/F3, 5445280, 5443505","Y2093, 1624, 1611","TMCSFD01, 1625, 1612",3500,"1600, 100",0,1600,
ProductionInterrupted,Counter,"01/11/2024,10:32:03",57626_-2,"57626_-2, 1",ABDELKARIM,"CU03CR004/F3, 5784780, 5783005","Y2093, 1724, 1711","TMCSFD01, 1725, 1712",3500,"1700, 100",0,1700,
ProductionRestarted,Counter,"01/11/2024,10:32:06",57626_-2,"57626_-2, 1",ABDELKARIM,"CU03CR004/F3, 5784780, 5783005","Y2093, 1724, 1711","TMCSFD01, 1725, 1712",3500,"1700, 100",0,1700,
