Nature,Section,DateTimeStamp,ArticleKey,Job,UserName,Wire,Seal,Terminal,ProductionRequestedPieces,ProductionPieces,UserRequestedPieces,TotalGoodPieces,SampleRequestedPieces
SampleStarted,Counter,"01/11/2024,06:31:28",57628_-2,"57628_-2, 1",MED AMIN,"CU04CR001, 2904305, 2707141",,"T5556-T, 14124, 13794",,,,,1
SampleTerminated,Counter,"01/11/2024,06:31:40",57628_-2,"57628_-2, 1",MED AMIN,"CU04CR001, 2904625, 2707141",,"T5556-T, 14125, 13794",,,,,1
LearnStarted,Counter,"01/11/2024,06:32:19",57628_-2,"57628_-2, 1",MED AMIN,"CU04CR001, 2904625, 2707141",,"T5556-T, 14125, 13794",,,,,
LearnAborted,Counter,"01/11/2024,06:32:30",57628_-2,"57628_-2, 1",MED AMIN,"CU04CR001, 2904625, 2707141",,"T5556-T, 14125, 13794",,,,,
SampleStarted,Counter,"01/11/2024,06:36:26",57628_-2,"57628_-2, 1",MED AMIN,"CU04CR001, 2904945, 2707141",,"T5556-T, 14126, 13794",,,,,1
SampleTerminated,Counter,"01/11/2024,06:36:38",57628_-2,"57628_-2, 1",MED AMIN,"CU04CR001, 2905265, 2707141",,"T5556-T, 14127, 13794",,,,,1
SampleStarted,Counter,"01/11/2024,06:37:59",57628_-2,"57628_-2, 1",MED AMIN,"CU04CR001, 2905265, 2707141",,"T5556-T, 14127, 13794",,,,,1
SampleTerminated,Counter,"01/11/2024,06:38:11",57628_-2,"57628_-2, 1",MED AMIN,"CU04CR001, 2905585, 2707141",,"T5556-T, 14128, 13794",,,,,1
LearnStarted,Counter,"01/11/2024,06:39:24",57628_-2,"57628_-2, 1",MED AMIN,"CU04CR001, 2905585, 2707141",,"T5556-T, 14128, 13794",,,,,
LearnTerminated,Counter,"01/11/2024,06:39:47",57628_-2,"57628_-2, 1",MED AMIN,"CU04CR001, 2906205, 2707141",,"T5556-T, 14131, 13794",,,,,
SampleStarted,Counter,"01/11/2024,06:40:21",57628_-2,"57628_-2, 1",MED AMIN,"CU04CR001, 2906205, 2707141",,"T5556-T, 14131, 13794",,,,,1
SampleTerminated,Counter,"01/11/2024,06:40:33",57628_-2,"57628_-2, 1",MED AMIN,"CU04CR001, 2906690, 2707141",,"T5556-T, 14132, 13794",,,,,1
ProductionStarted,Counter,"01/11/2024,06:44:35",57628_-2,"57628_-2, 1",MED AMIN,"CU04CR001, 2906690, 2707141",,"T5556-T, 14132, 13794",1000,,,,
ProductionInterrupted,Counter,"01/11/2024,06:44:54",57628_-2,"57628_-2, 1",MED AMIN,"CU04CR001, 2906690, 2707141",,"T5556-T, 14132, 13794",1000,,,10,
ProductionRestarted,Counter,"01/11/2024,06:52:50",57628_-2,"57628_-2, 1",MED AMIN,"CU04CR001, 2910640, 2710921",,"T5556-T, 14144, 13806",1000,,,12,
ProductionRestarted,Counter,"01/11/2024,06:53:04",57628_-2,"57628_-2, 1",MED AMIN,"CU04CR001, 2910640, 2710921",,"T5556-T, 14144, 13806",1000,,,12,
ProductionInterrupted,Counter,"01/11/2024,06:55:45",57628_-2,"57628_-2, 1",MED AMIN,"CU04CR001, 2938360, 2738641",,"T5556-T, 14232, 13894",1000,,,100,
ProductionRestarted,Counter,"01/11/2024,06:55:51",57628_-2,"57628_-2, 1",MED AMIN,"CU04CR001, 2938360, 2738641",,"T5556-T, 14232, 13894",1000,,,100,
ProductionInterrupted,Counter,"01/11/2024,06:58:55",57628_-2,"57628_-2, 1",MED AMIN,"CU04CR001, 2969860, 2770141",,"T5556-T, 14332, 13994",1000,,,200,
ProductionRestarted,Counter,"01/11/2024,06:59:00",57628_-2,"57628_-2, 1",MED AMIN,"CU04CR001, 2969860, 2770141",,"T5556-T, 14332, 13994",1000,,,200,
ProductionInterrupted,Counter,"01/11/2024,07:02:04",57628_-2,"57628_-2, 1",MED AMIN,"CU04CR001, 3001360, 2801641",,"T5556-T, 14432, 14094",1000,,,300,
ProductionRestarted,Counter,"01/11/2024,07:02:10",57628_-2,"57628_-2, 1",MED AMIN,"CU04CR001, 3001360, 2801641",,"T5556-T, 14432, 14094",1000,,,300,
ProductionInterrupted,Counter,"01/11/2024,07:05:14",57628_-2,"57628_-2, 1",MED AMIN,"CU04CR001, 3032860, 2833141",,"T5556-T, 14532, 14194",1000,,,400,
ProductionRestarted,Counter,"01/11/2024,07:05:19",57628_-2,"57628_-2, 1",MED AMIN,"CU04CR001, 3032860, 2833141",,"T5556-T, 14532, 14194",1000,,,400,
ProductionInterrupted,Counter,"01/11/2024,07:08:10",57628_-2,"57628_-2, 1",MED AMIN,"CU04CR001, 3061840, 2862121",,"T5556-T, 14624, 14286",1000,,,492,
SampleStarted,Counter,"01/11/2024,07:09:50",57628_-2,"57628_-2, 1",MED AMIN,"CU04CR001, 3061840, 2862121",,"T5556-T, 14624, 14286",,,,,1
SampleTerminated,Counter,"01/11/2024,07:10:03",57628_-2,"57628_-2, 1",MED AMIN,"CU04CR001, 3062160, 2862121",,"T5556-T, 14625, 14286",,,,,1
LearnStarted,Counter,"01/11/2024,07:10:22",57628_-2,"57628_-2, 1",MED AMIN,"CU04CR001, 3062160, 2862121",,"T5556-T, 14625, 14286",,,,,
LearnTerminated,Counter,"01/11/2024,07:10:46",57628_-2,"57628_-2, 1",MED AMIN,"CU04CR001, 3062780, 2862121",,"T5556-T, 14628, 14286",,,,,
ProductionRestarted,Counter,"01/11/2024,07:11:26",57628_-2,"57628_-2, 1",MED AMIN,"CU04CR001, 3062780, 2862121",,"T5556-T, 14628, 14286",1000,,,492,
ProductionInterrupted,Counter,"01/11/2024,07:11:40",57628_-2,"57628_-2, 1",MED AMIN,"CU04CR001, 3065470, 2864641",,"T5556-T, 14636, 14294",1000,,,500,
ProductionRestarted,Counter,"01/11/2024,07:11:45",57628_-2,"57628_-2, 1",MED AMIN,"CU04CR001, 3065470, 2864641",,"T5556-T, 14636, 14294",1000,,,500,
ProductionInterrupted,Counter,"01/11/2024,07:14:53",57628_-2,"57628_-2, 1",MED AMIN,"CU04CR001, 3097285, 2896141",,"T5556-T, 14737, 14394",1000,,,600,
ProductionRestarted,Counter,"01/11/2024,07:14:58",57628_-2,"57628_-2, 1",MED AMIN,"CU04CR001, 3097285, 2896141",,"T5556-T, 14737, 14394",1000,,,600,
ProductionInterrupted,Counter,"01/11/2024,07:18:06",57628_-2,"57628_-2, 1",MED AMIN,"CU04CR001, 3129415, 2928271",,"T5556-T, 14839, 14496",1000,,2,702,
ProductionRestarted,Counter,"01/11/2024,07:18:11",57628_-2,"57628_-2, 1",MED AMIN,"CU04CR001, 3129415, 2928271",,"T5556-T, 14839, 14496",1000,,2,702,
ProductionInterrupted,Counter,"01/11/2024,07:21:19",57628_-2,"57628_-2, 1",MED AMIN,"CU04CR001, 3161230, 2959771",,"T5556-T, 14940, 14596",1000,,2,802,
ProductionRestarted,Counter,"01/11/2024,07:21:25",57628_-2,"57628_-2, 1",MED AMIN,"CU04CR001, 3161230, 2959771",,"T5556-T, 14940, 14596",1000,,2,802,
ProductionInterrupted,Counter,"01/11/2024,07:24:41",57628_-2,"57628_-2, 1",MED AMIN,"CU04CR001, 3193675, 2991271",,"T5556-T, 15043, 14696",1000,,2,902,
ProductionRestarted,Counter,"01/11/2024,07:24:46",57628_-2,"57628_-2, 1",MED AMIN,"CU04CR001, 3193675, 2991271",,"T5556-T, 15043, 14696",1000,,2,902,
ProductionTerminated,Counter,"01/11/2024,07:27:51",57628_-2,"57628_-2, 1",MED AMIN,"CU04CR001, 3225175, 3022771",,"T5556-T, 15143, 14796",1000,,2,1002,
SampleStarted,Counter,"01/11/2024,07:32:05",57632_-8,"57632_-8, 1",MED AMIN,"CU04CR010, 62385, 51865",,"T5556-T, 15143, 14796",,,,,1
SampleTerminated,Counter,"01/11/2024,07:32:17",57632_-8,"57632_-8, 1",MED AMIN,"CU04CR010, 64565, 51865",,"T5556-T, 15144, 14796",,,,,1
ProductionStarted,Counter,"01/11/2024,07:35:00",57632_-8,"57632_-8, 1",MED AMIN,"CU04CR010, 64565, 51865",,"T5556-T, 15144, 14796",100,,,,
ProductionInterrupted,Counter,"01/11/2024,07:36:58",57632_-8,"57632_-8, 1",MED AMIN,"CU04CR010, 64565, 51865",,"T5556-T, 15144, 14796",100,,1,68,
ProductionRestarted,Counter,"01/11/2024,07:40:42",57632_-8,"57632_-8, 1",MED AMIN,"CU04CR010, 205435, 188545",,"T5556-T, 15213, 14864",100,,1,68,
ProductionTerminated,Counter,"01/11/2024,07:41:38",57632_-8,"57632_-8, 1",MED AMIN,"CU04CR010, 271935, 254875",,"T5556-T, 15246, 14897",100,,1,101,
SampleStarted,Counter,"01/11/2024,07:44:40",57632_-7,"57632_-7, 1",MED AMIN,"CU04CR009, 0, 0",,"T5556-T, 15246, 14897",,,,,1
SampleTerminated,Counter,"01/11/2024,07:44:52",57632_-7,"57632_-7, 1",MED AMIN,"CU04CR009, 2180, 0",,"T5556-T, 15247, 14897",,,,,1
ProductionStarted,Counter,"01/11/2024,07:45:58",57632_-7,"57632_-7, 1",MED AMIN,"CU04CR009, 2180, 0",,"T5556-T, 15247, 14897",100,,,,
ProductionInterrupted,Counter,"01/11/2024,07:47:49",57632_-7,"57632_-7, 1",MED AMIN,"CU04CR009, 122950, 120600",,"T5556-T, 15307, 14957",100,,,60,
ProductionRestarted,Counter,"01/11/2024,07:48:51",57632_-7,"57632_-7, 1",MED AMIN,"CU04CR009, 122950, 120600",,"T5556-T, 15307, 14957",100,,,60,
ProductionInterrupted,Counter,"01/11/2024,07:49:25",57632_-7,"57632_-7, 1",MED AMIN,"CU04CR009, 159130, 156780",,"T5556-T, 15325, 14975",100,,,78,
ProductionRestarted,Counter,"01/11/2024,07:49:41",57632_-7,"57632_-7, 1",MED AMIN,"CU04CR009, 159130, 156780",,"T5556-T, 15325, 14975",100,,,78,
ProductionTerminated,Counter,"01/11/2024,07:50:22",57632_-7,"57632_-7, 1",MED AMIN,"CU04CR009, 203350, 201000",,"T5556-T, 15347, 14997",100,,,100,
SampleStarted,Counter,"01/11/2024,07:55:40",57632_-9,"57632_-9, 1",MED AMIN,"CU04CR008, 1638968, 1587405",,"T5556-T, 15347, 14997",,,,,1
SampleTerminated,Counter,"01/11/2024,07:55:53",57632_-9,"57632_-9, 1",MED AMIN,"CU04CR008, 1641148, 1587405",,"T5556-T, 15348, 14997",,,,,1
LearnStarted,Counter,"01/11/2024,07:55:59",57632_-9,"57632_-9, 1",MED AMIN,"CU04CR008, 1641148, 1587405",,"T5556-T, 15348, 14997",,,,,
LearnTerminated,Counter,"01/11/2024,07:56:22",57632_-9,"57632_-9, 1",MED AMIN,"CU04CR008, 1641768, 1587405",,"T5556-T, 15351, 14997",,,,,
ProductionStarted,Counter,"01/11/2024,07:56:46",57632_-9,"57632_-9, 1",MED AMIN,"CU04CR008, 1641768, 1587405",,"T5556-T, 15351, 14997",100,,,,
ProductionTerminated,Counter,"01/11/2024,07:59:55",57632_-9,"57632_-9, 1",MED AMIN,"CU04CR008, 1844948, 1788405",,"T5556-T, 15452, 15097",100,,,100,
SampleStarted,Counter,"01/11/2024,08:09:11",57632_-16,"57632_-16, 1",MED AMIN,"CU03CR007, 1190840, 1133340",,"T5556-T, 15452, 15097",,,,,1
SampleTerminated,Counter,"01/11/2024,08:09:23",57632_-16,"57632_-16, 1",MED AMIN,"CU03CR007, 1191160, 1133340",,"T5556-T, 15453, 15097",,,,,1
SampleStarted,Counter,"01/11/2024,08:09:50",57632_-16,"57632_-16, 1",MED AMIN,"CU03CR007, 1191160, 1133340",,"T5556-T, 15453, 15097",,,,,1
SampleTerminated,Counter,"01/11/2024,08:10:02",57632_-16,"57632_-16, 1",MED AMIN,"CU03CR007, 1191480, 1133340",,"T5556-T, 15454, 15097",,,,,1
SampleStarted,Counter,"01/11/2024,08:10:26",57632_-16,"57632_-16, 1",MED AMIN,"CU03CR007, 1191480, 1133340",,"T5556-T, 15454, 15097",,,,,1
SampleStarted,Counter,"01/11/2024,08:11:46",57632_-16,"57632_-16, 1",MED AMIN,"CU03CR007, 1191480, 1133340",,"T5556-T, 15454, 15097",,,,,1
SampleTerminated,Counter,"01/11/2024,08:11:58",57632_-16,"57632_-16, 1",MED AMIN,"CU03CR007, 1191800, 1133340",,"T5556-T, 15455, 15097",,,,,1
SampleStarted,Counter,"01/11/2024,08:12:44",57632_-16,"57632_-16, 1",MED AMIN,"CU03CR007, 1191800, 1133340",,"T5556-T, 15455, 15097",,,,,1
SampleTerminated,Counter,"01/11/2024,08:12:56",57632_-16,"57632_-16, 1",MED AMIN,"CU03CR007, 1193500, 1133340",,"T5556-T, 15456, 15097",,,,,1
LearnStarted,Counter,"01/11/2024,08:13:07",57632_-16,"57632_-16, 1",MED AMIN,"CU03CR007, 1193500, 1133340",,"T5556-T, 15456, 15097",,,,,
LearnTerminated,Counter,"01/11/2024,08:13:30",57632_-16,"57632_-16, 1",MED AMIN,"CU03CR007, 1194120, 1133340",,"T5556-T, 15459, 15097",,,,,
ProductionStarted,Counter,"01/11/2024,08:16:04",57632_-16,"57632_-16, 1",MED AMIN,"CU03CR007, 1194120, 1133340",,"T5556-T, 15459, 15097",100,,,,
ProductionTerminated,Counter,"01/11/2024,08:19:42",57632_-16,"57632_-16, 1",MED AMIN,"CU03CR007, 1347290, 1286340",,"T5556-T, 15559, 15197",100,,,100,
SampleStarted,Counter,"01/11/2024,08:21:56",57632_-4,"57632_-4, 1",MED AMIN,"CU03CR007, 1347290, 1286340",,"T5556-T, 15559, 15197",,,,,1
SampleTerminated,Counter,"01/11/2024,08:22:09",57632_-4,"57632_-4, 1",MED AMIN,"CU03CR007, 1349470, 1286340",,"T5556-T, 15560, 15197",,,,,1
LearnStarted,Counter,"01/11/2024,08:22:10",57632_-4,"57632_-4, 1",MED AMIN,"CU03CR007, 1349470, 1286340",,"T5556-T, 15560, 15197",,,,,
LearnTerminated,Counter,"01/11/2024,08:22:33",57632_-4,"57632_-4, 1",MED AMIN,"CU03CR007, 1350090, 1286340",,"T5556-T, 15563, 15197",,,,,
ProductionStarted,Counter,"01/11/2024,08:23:15",57632_-4,"57632_-4, 1",MED AMIN,"CU03CR007, 1350090, 1286340",,"T5556-T, 15563, 15197",100,,,,
ProductionTerminated,Counter,"01/11/2024,08:27:16",57632_-4,"57632_-4, 1",MED AMIN,"CU03CR007, 1551260, 1487340",,"T5556-T, 15663, 15297",100,,,100,
SampleStarted,Counter,"01/11/2024,08:30:26",57632_-2,"57632_-2, 1",MED AMIN,"CU03CR006, 7558698, 7428325",,"T5556-T, 15663, 15297",,,,,1
SampleTerminated,Counter,"01/11/2024,08:30:38",57632_-2,"57632_-2, 1",MED AMIN,"CU03CR006, 7559383, 7428325",,"T5556-T, 15664, 15297",,,,,1
ProductionStarted,Counter,"01/11/2024,08:38:47",57632_-2,"57632_-2, 1",MED AMIN,"CU03CR006, 7559383, 7428325",,"T5556-T, 15664, 15297",100,,,,
ProductionTerminated,Counter,"01/11/2024,08:42:11",57632_-2,"57632_-2, 1",MED AMIN,"CU03CR006, 7611053, 7479825",,"T5556-T, 15764, 15397",100,,,100,
SampleStarted,Counter,"01/11/2024,08:46:16",57632_-17,"57632_-17, 1",MED AMIN,"CU03CR009, 36607, 29070",,"T5556-T, 15764, 15397",,,,,1
SampleTerminated,Counter,"01/11/2024,08:46:28",57632_-17,"57632_-17, 1",MED AMIN,"CU03CR009, 38306, 29070",,"T5556-T, 15765, 15397",,,,,1
ProductionStarted,Counter,"01/11/2024,08:48:05",57632_-17,"57632_-17, 1",MED AMIN,"CU03CR009, 38306, 29070",,"T5556-T, 15765, 15397",100,,,,
ProductionInterrupted,Counter,"01/11/2024,08:49:21",57632_-17,"57632_-17, 1",MED AMIN,"CU03CR009, 96615, 82620",,"T5556-T, 15803, 15432",100,,,35,
ProductionRestarted,Counter,"01/11/2024,08:50:21",57632_-17,"57632_-17, 1",MED AMIN,"CU03CR009, 96615, 82620",,"T5556-T, 15803, 15432",100,,,35,
ProductionInterrupted,Counter,"01/11/2024,08:50:27",57632_-17,"57632_-17, 1",MED AMIN,"CU03CR009, 101205, 87210",,"T5556-T, 15806, 15435",100,,,38,
ProductionRestarted,Counter,"01/11/2024,08:50:38",57632_-17,"57632_-17, 1",MED AMIN,"CU03CR009, 101205, 87210",,"T5556-T, 15806, 15435",100,,,38,
ProductionTerminated,Counter,"01/11/2024,08:52:31",57632_-17,"57632_-17, 1",MED AMIN,"CU03CR009, 196065, 182070",,"T5556-T, 15868, 15497",100,,,100,
SampleStarted,Counter,"01/11/2024,08:56:53",57632_-14,"57632_-14, 1",MED AMIN,"CU03CR012, 0, 0",,"T5556-T, 15868, 15497",,,,,1
SampleTerminated,Counter,"01/11/2024,08:57:05",57632_-14,"57632_-14, 1",MED AMIN,"CU03CR012, 1700, 0",,"T5556-T, 15869, 15497",,,,,1
ProductionStarted,Counter,"01/11/2024,08:58:52",57632_-14,"57632_-14, 1",MED AMIN,"CU03CR012, 1700, 0",,"T5556-T, 15869, 15497",100,,,,
ProductionTerminated,Counter,"01/11/2024,09:01:49",57632_-14,"57632_-14, 1",MED AMIN,"CU03CR012, 156400, 154530",,"T5556-T, 15970, 15598",100,,1,101,
SampleStarted,Counter,"01/11/2024,09:04:33",57632_-3,"57632_-3, 1",MED AMIN,"CU03CR045, 1854999, 1728223",,"T5556-T, 15970, 15598",,,,,1
SampleTerminated,Counter,"01/11/2024,09:04:46",57632_-3,"57632_-3, 1",MED AMIN,"CU03CR045, 1855319, 1728223",,"T5556-T, 15971, 15598",,,,,1
SampleStarted,Counter,"01/11/2024,09:04:57",57632_-3,"57632_-3, 1",MED AMIN,"CU03CR045, 1855319, 1728223",,"T5556-T, 15971, 15598",,,,,1
SampleTerminated,Counter,"01/11/2024,09:05:10",57632_-3,"57632_-3, 1",MED AMIN,"CU03CR045, 1857499, 1728223",,"T5556-T, 15972, 15598",,,,,1
ProductionStarted,Counter,"01/11/2024,09:06:12",57632_-3,"57632_-3, 1",MED AMIN,"CU03CR045, 1857499, 1728223",,"T5556-T, 15972, 15598",100,,,,
ProductionTerminated,Counter,"01/11/2024,09:09:59",57632_-3,"57632_-3, 1",MED AMIN,"CU03CR045, 2058669, 1929223",,"T5556-T, 16072, 15698",100,,,100,
SampleStarted,Counter,"01/11/2024,10:02:53",57632_-1,"57632_-1, 1",MED AMIN,"CU03CR002, 9243747, 8188827",,"T5556-T, 16072, 15698",,,,,1
SampleTerminated,Counter,"01/11/2024,10:03:06",57632_-1,"57632_-1, 1",MED AMIN,"CU03CR002, 9244633, 8188827",,"T5556-T, 16073, 15698",,,,,1
LearnStarted,Counter,"01/11/2024,10:03:24",57632_-1,"57632_-1, 1",MED AMIN,"CU03CR002, 9244633, 8188827",,"T5556-T, 16073, 15698",,,,,
LearnTerminated,Counter,"01/11/2024,10:03:48",57632_-1,"57632_-1, 1",MED AMIN,"CU03CR002, 9245253, 8188827",,"T5556-T, 16076, 15698",,,,,
ProductionStarted,Counter,"01/11/2024,10:04:04",57632_-1,"57632_-1, 1",MED AMIN,"CU03CR002, 9245253, 8188827",,"T5556-T, 16076, 15698",100,,,,
ProductionTerminated,Counter,"01/11/2024,10:08:04",57632_-1,"57632_-1, 1",MED AMIN,"CU03CR002, 9297438, 8240842",,"T5556-T, 16177, 15799",100,,1,101,
SampleStarted,Counter,"01/11/2024,10:09:48",57632_-15,"57632_-15, 1",MED AMIN,"CU03CR002, 9297438, 8240842",,"T5556-T, 16177, 15799",,,,,1
SampleTerminated,Counter,"01/11/2024,10:10:01",57632_-15,"57632_-15, 1",MED AMIN,"CU03CR002, 9299138, 8240842",,"T5556-T, 16178, 15799",,,,,1
ProductionStarted,Counter,"01/11/2024,10:11:08",57632_-15,"57632_-15, 1",MED AMIN,"CU03CR002, 9299138, 8240842",,"T5556-T, 16178, 15799",100,,,,
ProductionTerminated,Counter,"01/11/2024,10:15:12",57632_-15,"57632_-15, 1",MED AMIN,"CU03CR002, 9452308, 8393842",,"T5556-T, 16278, 15899",100,,,100,
SampleStarted,Counter,"01/11/2024,10:22:27",57632_-5,"57632_-5, 1",MED AMIN,"CU05CR005, 271778, 259630",,"T5556-T3, 122, 84",,,,,1
SampleTerminated,Counter,"01/11/2024,10:22:39",57632_-5,"57632_-5, 1",MED AMIN,"CU05CR005, 272265, 259630",,"T5556-T3, 123, 84",,,,,1
SampleStarted,Counter,"01/11/2024,10:23:14",57632_-5,"57632_-5, 1",MED AMIN,"CU05CR005, 272265, 259630",,"T5556-T3, 123, 84",,,,,1
SampleStarted,Counter,"01/11/2024,10:24:21",57632_-5,"57632_-5, 1",MED AMIN,"CU05CR005, 272265, 259630",,"T5556-T3, 123, 84",,,,,1
SampleTerminated,Counter,"01/11/2024,10:24:33",57632_-5,"57632_-5, 1",MED AMIN,"CU05CR005, 272583, 259630",,"T5556-T3, 124, 84",,,,,1
SampleStarted,Counter,"01/11/2024,10:25:11",57632_-5,"57632_-5, 1",MED AMIN,"CU05CR005, 272583, 259630",,"T5556-T3, 124, 84",,,,,1
SampleTerminated,Counter,"01/11/2024,10:25:23",57632_-5,"57632_-5, 1",MED AMIN,"CU05CR005, 272901, 259630",,"T5556-T3, 125, 84",,,,,1
SampleStarted,Counter,"01/11/2024,10:25:31",57632_-5,"57632_-5, 1",MED AMIN,"CU05CR005, 272901, 259630",,"T5556-T3, 125, 84",,,,,1
SampleTerminated,Counter,"01/11/2024,10:25:43",57632_-5,"57632_-5, 1",MED AMIN,"CU05CR005, 273219, 259630",,"T5556-T3, 126, 84",,,,,1
SampleStarted,Counter,"01/11/2024,10:26:17",57632_-5,"57632_-5, 1",MED AMIN,"CU05CR005, 273219, 259630",,"T5556-T3, 126, 84",,,,,1
SampleTerminated,Counter,"01/11/2024,10:26:29",57632_-5,"57632_-5, 1",MED AMIN,"CU05CR005, 273537, 259630",,"T5556-T3, 127, 84",,,,,1
SampleStarted,Counter,"01/11/2024,10:26:55",57632_-5,"57632_-5, 1",MED AMIN,"CU05CR005, 273537, 259630",,"T5556-T3, 127, 84",,,,,1
SampleTerminated,Counter,"01/11/2024,10:27:07",57632_-5,"57632_-5, 1",MED AMIN,"CU05CR005, 273855, 259630",,"T5556-T3, 128, 84",,,,,1
SampleStarted,Counter,"01/11/2024,10:27:19",57632_-5,"57632_-5, 1",MED AMIN,"CU05CR005, 273855, 259630",,"T5556-T3, 128, 84",,,,,1
SampleTerminated,Counter,"01/11/2024,10:27:31",57632_-5,"57632_-5, 1",MED AMIN,"CU05CR005, 276034, 259630",,"T5556-T3, 129, 84",,,,,1
LearnStarted,Counter,"01/11/2024,10:27:42",57632_-5,"57632_-5, 1",MED AMIN,"CU05CR005, 276034, 259630",,"T5556-T3, 129, 84",,,,,
LearnTerminated,Counter,"01/11/2024,10:28:05",57632_-5,"57632_-5, 1",MED AMIN,"CU05CR005, 276650, 259630",,"T5556-T3, 132, 84",,,,,
ProductionStarted,Counter,"01/11/2024,10:29:23",57632_-5,"57632_-5, 1",MED AMIN,"CU05CR005, 276650, 259630",,"T5556-T3, 132, 84",100,,,,
ProductionInterrupted,Counter,"01/11/2024,10:29:37",57632_-5,"57632_-5, 1",MED AMIN,"CU05CR005, 292900, 275710",,"T5556-T3, 140, 92",100,,,8,
ProductionRestarted,Counter,"01/11/2024,10:34:37",57632_-5,"57632_-5, 1",MED AMIN,"CU05CR005, 292900, 275710",,"T5556-T3, 140, 92",100,,,8,
ProductionInterrupted,Counter,"01/11/2024,10:35:20",57632_-5,"57632_-5, 1",MED AMIN,"CU05CR005, 341140, 323950",,"T5556-T3, 164, 116",100,,,32,
ProductionRestarted,Counter,"01/11/2024,10:35:33",57632_-5,"57632_-5, 1",MED AMIN,"CU05CR005, 341140, 323950",,"T5556-T3, 164, 116",100,,,32,
ProductionTerminated,Counter,"01/11/2024,10:37:32",57632_-5,"57632_-5, 1",MED AMIN,"CU05CR005, 477990, 460630",,"T5556-T3, 232, 184",100,,,100,
SampleStarted,Counter,"01/11/2024,10:39:02",57632_-11,"57632_-11, 1",MED AMIN,"CU05CR005, 477990, 460630",,"T5556-T3, 232, 184",,,,,1
SampleTerminated,Counter,"01/11/2024,10:39:15",57632_-11,"57632_-11, 1",MED AMIN,"CU05CR005, 480170, 460630",,"T5556-T3, 233, 184",,,,,1
ProductionStarted,Counter,"01/11/2024,10:41:22",57632_-11,"57632_-11, 1",MED AMIN,"CU05CR005, 480170, 460630",,"T5556-T3, 233, 184",100,,,,
ProductionTerminated,Counter,"01/11/2024,10:44:21",57632_-11,"57632_-11, 1",MED AMIN,"CU05CR005, 683350, 661630",,"T5556-T3, 334, 284",100,,,100,
SampleStarted,Counter,"01/11/2024,10:47:51",57632_-10,"57632_-10, 1",MED AMIN,"CU05CR004, 219235, 204685",,"T5556-T3, 334, 284",,,,,1
SampleTerminated,Counter,"01/11/2024,10:48:04",57632_-10,"57632_-10, 1",MED AMIN,"CU05CR004, 221415, 204685",,"T5556-T3, 335, 284",,,,,1
SampleStarted,Counter,"01/11/2024,10:48:07",57632_-10,"57632_-10, 1",MED AMIN,"CU05CR004, 221415, 204685",,"T5556-T3, 335, 284",,,,,1
SampleTerminated,Counter,"01/11/2024,10:48:19",57632_-10,"57632_-10, 1",MED AMIN,"CU05CR004, 221735, 204685",,"T5556-T3, 336, 284",,,,,1
ProductionStarted,Counter,"01/11/2024,10:49:14",57632_-10,"57632_-10, 1",MED AMIN,"CU05CR004, 221735, 204685",,"T5556-T3, 336, 284",100,,,,
ProductionInterrupted,Counter,"01/11/2024,10:49:19",57632_-10,"57632_-10, 1",MED AMIN,"CU05CR004, 221735, 204685",,"T5556-T3, 336, 284",100,,,1,
ProductionRestarted,Counter,"01/11/2024,10:49:32",57632_-10,"57632_-10, 1",MED AMIN,"CU05CR004, 227935, 206695",,"T5556-T3, 338, 285",100,,,1,
ProductionInterrupted,Counter,"01/11/2024,10:50:05",57632_-10,"57632_-10, 1",MED AMIN,"CU05CR004, 227935, 206695",,"T5556-T3, 338, 285",100,,,16,
ProductionRestarted,Counter,"01/11/2024,10:50:31",57632_-10,"57632_-10, 1",MED AMIN,"CU05CR004, 260095, 236845",,"T5556-T3, 354, 300",100,,,16,
ProductionTerminated,Counter,"01/11/2024,10:53:17",57632_-10,"57632_-10, 1",MED AMIN,"CU05CR004, 429105, 405685",,"T5556-T3, 438, 384",100,,,100,
SampleStarted,Counter,"01/11/2024,11:33:16",57632_-6,"57632_-6, 1",MED AMIN,"CU05CR001, 27036898, 25778029",,"T5556-T3, 438, 384",,,,,1
SampleTerminated,Counter,"01/11/2024,11:33:29",57632_-6,"57632_-6, 1",MED AMIN,"CU05CR001, 27039078, 25778029",,"T5556-T3, 439, 384",,,,,1
ProductionStarted,Counter,"01/11/2024,11:34:44",57632_-6,"57632_-6, 1",MED AMIN,"CU05CR001, 27039078, 25778029",,"T5556-T3, 439, 384",100,,,,
ProductionTerminated,Counter,"01/11/2024,11:38:22",57632_-6,"57632_-6, 1",MED AMIN,"CU05CR001, 27240248, 25979029",,"T5556-T3, 539, 484",100,,,100,
SampleStarted,Counter,"01/11/2024,11:41:55",57632_-12,"57632_-12, 1",MED AMIN,"CU05CR003, 1952709, 1840185",,"T5556-T3, 539, 484",,,,,1
SampleStarted,Counter,"01/11/2024,11:43:16",57632_-12,"57632_-12, 1",MED AMIN,"CU05CR003, 1952879, 1840185",,"T5556-T3, 539, 484",,,,,1
SampleTerminated,Counter,"01/11/2024,11:43:28",57632_-12,"57632_-12, 1",MED AMIN,"CU05CR003, 1955259, 1840185",,"T5556-T3, 540, 484",,,,,1
SampleStarted,Counter,"01/11/2024,11:43:38",57632_-12,"57632_-12, 1",MED AMIN,"CU05CR003, 1955259, 1840185",,"T5556-T3, 540, 484",,,,,1
